Season,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
2023-2024,F,esReal Madrid,12,8,4,0,26,15,+11,28,WDWWW,"60,014","Joselu,Vinicius Júnior... -5",Andriy Lunin,
2023-2024,F,deDortmund,12,7,3,2,17,9,+8,24,LWWWL,"81,365",Niclas Füllkrug-3,Gregor Kobel,
2023-2024,,,,,,,,,,,,,,,
2023-2024,SF,deBayern Munich,12,7,3,2,21,13,+8,24,WDLLW,"75,000",Harry Kane-8,Manuel Neuer,
2023-2024,SF,frParis S-G,12,5,2,5,19,15,+4,17,WDLLL,"38,947",Kylian Mbappé-8,Gianluigi Donnarumma,
2023-2024,,,,,,,,,,,,,,,
2023-2024,QF,engManchester City,10,8,2,0,28,13,+15,26,WWWWW,"51,298",Erling Haaland-6,Ederson,
2023-2024,QF,esAtlético Madrid,10,6,2,2,23,13,+10,20,LLWWW,"64,803",Antoine Griezmann-6,Jan Oblak,
2023-2024,QF,esBarcelona,10,6,1,3,20,14,+6,19,WLLWL,"45,308","Robert Lewandowski,Ferrán Torres... -3",Marc-André ter Stegen,
2023-2024,QF,engArsenal,10,5,2,3,19,8,+11,17,WWWWW,"59,870","Leandro Trossard,Gabriel Jesus... -4",David Raya,
2023-2024,,,,,,,,,,,,,,,
2023-2024,R16,ptPorto,8,5,0,3,16,9,+7,15,DWDWW,"47,944",Galeno-5,Diogo Costa,
2023-2024,R16,itInter,8,4,3,1,10,7,+3,15,DWWLW,"70,279","Alexis Sánchez,Marko Arnautović... -2",Yann Sommer,
2023-2024,R16,deRB Leipzig,8,4,1,3,14,12,+2,13,WWWDD,"43,949",Loïs Openda-4,Janis Blaswich,
2023-2024,R16,itLazio,8,4,1,3,8,10,-2,13,WWWDW,"47,701",Ciro Immobile-4,Ivan Provedel,
2023-2024,R16,esReal Sociedad,8,3,3,2,8,6,+2,12,WDDLW,"36,790",Brais Méndez-3,Álex Remiro,
2023-2024,R16,itNapoli,8,3,2,3,12,13,-1,11,DLDDL,"45,367",Victor Osimhen-2,Alex Meret,
2023-2024,R16,nlPSV Eindhoven,8,2,4,2,9,13,-4,10,WWWWD,"34,589",Luuk de Jong-3,Walter Benítez,
2023-2024,R16,dkFC Copenhagen,8,2,2,4,10,14,-4,8,DWWWW,"35,592","Mohamed Elyounoussi,Lukas Lerager-3",Kamil Grabara,
2023-2024,,,,,,,,,,,,,,,
2023-2024,GR,uaShakhtar,6,3,0,3,10,12,-2,9,WWWWW,"47,695",Danylo Sikan-4,Dmytro Riznyk,
2023-2024,GR,itMilan,6,2,2,2,5,8,-3,8,LLDDW,"72,212",Samuel Chukwueze-2,Mike Maignan,
2023-2024,GR,frLens,6,2,2,2,6,11,-5,8,LWLWD,"37,543","Angelo Fulgini,Elye Wahi-2",Brice Samba,
2023-2024,GR,nlFeyenoord,6,2,0,4,9,10,-1,6,WWWWW,"44,010",Santiago Giménez-2,Justin Bijlow,
2023-2024,GR,engNewcastle Utd,6,1,2,3,6,7,-1,5,WLWWD,"52,023","Dan Burn,Fabian Schär... -1",Nick Pope,
2023-2024,GR,trGalatasaray,6,1,2,3,10,13,-3,5,WWWWW,"50,140","Mauro Icardi,Hakim Ziyech... -2",Fernando Muslera,
2023-2024,GR,engManchester Utd,6,1,1,4,12,15,-3,4,DWDLL,"73,175",Rasmus Højlund-5,André Onana,
2023-2024,GR,ptBenfica,6,1,1,4,7,11,-4,4,LWWLW,"56,621",João Mário-3,Anatolii Trubin,
2023-2024,GR,atRB Salzburg,6,1,1,4,4,8,-4,4,WLDLW,"28,477",Oscar Gloukh-2,Alexander Schlager,
2023-2024,GR,chYoung Boys,6,1,1,4,7,13,-6,4,DWWWL,"31,500",Meschak Elia-2,Anthony Racioppi,
2023-2024,GR,ptBraga,6,1,1,4,6,12,-6,4,WWLWW,"21,366","Bruma,Álvaro djaló-2",Matheus,
2023-2024,GR,sctCeltic,6,1,1,4,5,15,-10,4,DWWWW,"56,099","Kyogo Furuhashi,Luis Enrique Palma-2",Joe Hart,
2023-2024,GR,beAntwerp,6,1,0,5,6,17,-11,3,WLLLL,"13,570","Vincent Janssen,Arbnor Muja... -1",Jean Butez,
2023-2024,GR,deUnion Berlin,6,0,2,4,6,10,-4,2,LLDLL,"72,976",Sheraldo Becker-2,Frederik Rønnow,
2023-2024,GR,esSevilla,6,0,2,4,7,12,-5,2,WWDWL,"34,181","Sergio Ramos,Nemanja Gudelj... -2",Marko Dmitrović,
2023-2024,GR,rsRed Star,6,0,1,5,7,15,-8,1,WDWWW,"46,202",Osman Bukari-2,Omri Glazer,
