Temporada,Fase,Equipo 1,Agr.,Equipo 2,Ida,Vuelta,Resultado
2018-19,Octavos_de_final,Schalke 04,2–10,Manchester City,2–3,0–7,
2018-19,Octavos_de_final,Atlético de Madrid,2–3,Juventus,2–0,0–3,
2018-19,Octavos_de_final,Manchester United,(v)3–3,París Saint-Germain,0–2,3–1,
2018-19,Octavos_de_final,Tottenham Hotspur,4–0,Borussia Dortmund,3–0,1–0,
2018-19,Octavos_de_final,Olympique de Lyon,1–5,Barcelona,0–0,1–5,
2018-19,Octavos_de_final,Roma,3–4(t. s.),Porto,2–1,1–3,
2018-19,Octavos_de_final,Ajax,5–3,Real Madrid,1–2,4–1,
2018-19,Octavos_de_final,Liverpool,3–1,Bayern Múnich,0–0,3–1,
2019-20,Octavos_de_final,Borussia Dortmund,2–3,París Saint-Germain,2–1,0–2,
2019-20,Octavos_de_final,Real Madrid,2–4,Manchester City,1–2,1–2,
2019-20,Octavos_de_final,Atalanta,8–4,Valencia,4–1,4–3,
2019-20,Octavos_de_final,Atlético de Madrid,4–2(t. s.),Liverpool,1–0,3–2,
2019-20,Octavos_de_final,Chelsea,1–7,Bayern Múnich,0–3,1–4,
2019-20,Octavos_de_final,Olympique de Lyon,2–2(v.),Juventus,1–0,1–2,
2019-20,Octavos_de_final,Tottenham Hotspur,0–4,Leipzig,0–1,0–3,
2019-20,Octavos_de_final,Napoli,2–4,Barcelona,1–1,1–3,
2020-21,Octavos_de_final,Borussia Mönchengladbach,0–4,Manchester City,0–2,0–2,
2020-21,Octavos_de_final,Lazio,2–6,Bayern Múnich,1–4,1–2,
2020-21,Octavos_de_final,Atlético de Madrid,0–3,Chelsea,0–1,0–2,
2020-21,Octavos_de_final,Leipzig,0–4,Liverpool,0–2,0–2,
2020-21,Octavos_de_final,Porto,4–4(v.)(t. s.),Juventus,2–1,2–3,
2020-21,Octavos_de_final,Barcelona,2–5,París Saint-Germain,1–4,1–1,
2020-21,Octavos_de_final,Sevilla,4–5,Borussia Dortmund,2–3,2–2,
2020-21,Octavos_de_final,Atalanta,1–4,Real Madrid,0–1,1–3,
2021-22,Octavos_de_final,Salzburgo,2–8,Bayern Múnich,1–1,1–7,
2021-22,Octavos_de_final,Sporting de Portugal,0–5,Manchester City,0–5,0–0,
2021-22,Octavos_de_final,Benfica,3–2,Ajax,2–2,1–0,
2021-22,Octavos_de_final,Chelsea,4–1,Lille,2–0,2–1,
2021-22,Octavos_de_final,Atlético de Madrid,2–1,Manchester United,1–1,1–0,
2021-22,Octavos_de_final,Villarreal,4–1,Juventus,1–1,3–0,
2021-22,Octavos_de_final,Inter de Milán,1–2,Liverpool,0–2,1–0,
2021-22,Octavos_de_final,París Saint-Germain,2–3,Real Madrid,1–0,1–3,
2022-23,Octavos_de_final,Leipzig,1–8,Manchester City,1–1,0–7,
2022-23,Octavos_de_final,Brujas,1–7,Benfica,0–2,1–5,
2022-23,Octavos_de_final,Liverpool,2–6,Real Madrid,2–5,0–1,
2022-23,Octavos_de_final,Milan,1–0,Tottenham Hotspur,1–0,0–0,
2022-23,Octavos_de_final,Eintracht Fráncfort,0–5,Napoli,0–2,0–3,
2022-23,Octavos_de_final,Borussia Dortmund,1–2,Chelsea,1–0,0–2,
2022-23,Octavos_de_final,Inter de Milán,1–0,Porto,1–0,0–0,
2022-23,Octavos_de_final,París Saint-Germain,0–3,Bayern Múnich,0–1,0–2,
2018-19,Cuartos_de_final,Ajax,3–2,Juventus,1–1,2–1,
2018-19,Cuartos_de_final,Liverpool,6–1,Porto,2–0,4–1,
2018-19,Cuartos_de_final,Tottenham Hotspur,4–4(v),Manchester City,1–0,3–4,
2018-19,Cuartos_de_final,Manchester United,0–4,Barcelona,0–1,0–3,
