Season,Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
2023-2024,Round of 16,Tue,2024-02-13,21:00,RB Leipzigde,0–1,esReal Madrid,"45,028",Red Bull Arena,Irfan Peljto,Match Report,Leg 1 of 2
2023-2024,Round of 16,Tue,2024-02-13,21:00,FC Copenhagendk,1–3,engManchester City,"35,853",Parken,José Sánchez,Match Report,Leg 1 of 2
2023-2024,Round of 16,Wed,2024-02-14,21:00,Paris S-Gfr,2–0,esReal Sociedad,"46,435",Parc des Princes,Marco Guida,Match Report,Leg 1 of 2
2023-2024,Round of 16,Wed,2024-02-14,21:00,Lazioit,1–0,deBayern Munich,"57,470",Stadio Olimpico,François Letexier,Match Report,Leg 1 of 2
2023-2024,Round of 16,Tue,2024-02-20,21:00,PSV Eindhovennl,1–1,deDortmund,"34,950",Philips Stadion,Srđan Jovanović,Match Report,Leg 1 of 2
2023-2024,Round of 16,Tue,2024-02-20,21:00,Interit,1–0,esAtlético Madrid,"73,709",Stadio Giuseppe Meazza,István Kovács,Match Report,Leg 1 of 2
2023-2024,Round of 16,Wed,2024-02-21,20:00,Portopt,1–0,engArsenal,"49,111",Estádio Do Dragão,Serdar Gözübüyük,Match Report,Leg 1 of 2
2023-2024,Round of 16,Wed,2024-02-21,21:00,Napoliit,1–1,esBarcelona,"49,529",Stadio Diego Armando Maradona,Felix Zwayer,Match Report,Leg 1 of 2
2023-2024,Round of 16,Tue,2024-03-05,21:00,Bayern Munichde,3–0,itLazio,"75,000",Allianz Arena,Slavko Vinčič,Match Report,Leg 2 of 2; Bayern Munich won
2023-2024,Round of 16,Tue,2024-03-05,21:00,Real Sociedades,1–2,frParis S-G,"39,336",Reale Arena,Michael Oliver,Match Report,Leg 2 of 2; Paris S-G won
2023-2024,Round of 16,Wed,2024-03-06,20:00,Manchester Cityeng,3–1,dkFC Copenhagen,"51,531",Etihad Stadium,Espen Eskås,Match Report,Leg 2 of 2; Manchester City won
2023-2024,Round of 16,Wed,2024-03-06,21:00,Real Madrides,1–1,deRB Leipzig,"76,126",Estadio Santiago Bernabéu,Davide Massa,Match Report,Leg 2 of 2; Real Madrid won
2023-2024,Round of 16,Tue,2024-03-12,20:00,Arsenaleng,(4)1–0(2),ptPorto,"60,257",Emirates Stadium,Clément Turpin,Match Report,Leg 2 of 2; Arsenal won; Arsenal won on penalty kicks following extra time
2023-2024,Round of 16,Tue,2024-03-12,21:00,Barcelonaes,3–1,itNapoli,"50,301",Estadi Olímpic Lluís Companys,Danny Makkelie,Match Report,Leg 2 of 2; Barcelona won
2023-2024,Round of 16,Wed,2024-03-13,21:00,Atlético Madrides,(3)2–1(2),itInter,"69,196",Stadium Metropolitano,Szymon Marciniak,Match Report,Leg 2 of 2; Atlético Madrid won; Atlético Madrid won on penalty kicks following extra time
2023-2024,Round of 16,Wed,2024-03-13,21:00,Dortmundde,2–0,nlPSV Eindhoven,"81,365",Signal Iduna Park,Daniele Orsato,Match Report,Leg 2 of 2; Dortmund won
2023-2024,,,,,,,,,,,,
2023-2024,Quarter-finals,Tue,2024-04-09,20:00,Arsenaleng,,deBayern Munich,,Emirates Stadium,,Head-to-Head,Leg 1 of 2
2023-2024,Quarter-finals,Tue,2024-04-09,21:00,Real Madrides,,engManchester City,,Estadio Santiago Bernabéu,,Head-to-Head,Leg 1 of 2
2023-2024,Quarter-finals,Wed,2024-04-10,21:00,Atlético Madrides,,deDortmund,,Estadio Cívitas Metropolitano,,Head-to-Head,Leg 1 of 2
2023-2024,Quarter-finals,Wed,2024-04-10,21:00,Paris S-Gfr,,esBarcelona,,Parc des Princes,,Head-to-Head,Leg 1 of 2
2023-2024,Quarter-finals,Tue,2024-04-16,21:00,Dortmundde,,esAtlético Madrid,,Signal Iduna Park,,Head-to-Head,Leg 2 of 2
2023-2024,Quarter-finals,Tue,2024-04-16,21:00,Barcelonaes,,frParis S-G,,Estadi Olímpic Lluís Companys,,Head-to-Head,Leg 2 of 2
2023-2024,Quarter-finals,Wed,2024-04-17,20:00,Manchester Cityeng,,esReal Madrid,,Etihad Stadium,,Head-to-Head,Leg 2 of 2
2023-2024,Quarter-finals,Wed,2024-04-17,21:00,Bayern Munichde,,engArsenal,,Allianz Arena,,Head-to-Head,Leg 2 of 2
