Season,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
2023-2024,QF,engManchester City,8,8,0,0,24,9,+15,24,WWWDW,"51,047",Erling Haaland-6,Ederson,
2023-2024,QF,esReal Madrid,8,7,1,0,18,8,+10,22,WDDWW,"70,851",Jude Bellingham-4,"Kepa Arrizabalaga,Andriy Lunin",
2023-2024,QF,deBayern Munich,8,6,1,1,15,7,+8,19,WDWWW,"75,000",Harry Kane-6,Manuel Neuer,
2023-2024,QF,esAtlético Madrid,8,5,2,1,19,8,+11,17,LWLWL,"63,844",Antoine Griezmann-6,Jan Oblak,
2023-2024,QF,engArsenal,8,5,1,2,17,5,+12,16,LWWWW,"59,782",Gabriel Jesus-4,David Raya,
2023-2024,QF,esBarcelona,8,5,1,2,16,8,+8,16,WDWWW,"44,058","Robert Lewandowski,Ferrán Torres... -3",Marc-André ter Stegen,
2023-2024,QF,deDortmund,8,4,3,1,10,5,+5,15,LWWWW,"81,365","Marco Reus,Karim Adeyemi-2",Gregor Kobel,
2023-2024,QF,frParis S-G,8,4,2,2,13,9,+4,14,DWDWW,"46,553",Kylian Mbappé-6,Gianluigi Donnarumma,
2023-2024,,,,,,,,,,,,,,,
2023-2024,R16,ptPorto,8,5,0,3,16,9,+7,15,DWWLW,"47,944",Galeno-5,Diogo Costa,
2023-2024,R16,itInter,8,4,3,1,10,7,+3,15,WWWLD,"70,279","Alexis Sánchez,Marko Arnautović... -2",Yann Sommer,
2023-2024,R16,deRB Leipzig,8,4,1,3,14,12,+2,13,LWDWW,"43,949",Loïs Openda-4,Janis Blaswich,
2023-2024,R16,itLazio,8,4,1,3,8,10,-2,13,LLLLW,"47,701",Ciro Immobile-4,Ivan Provedel,
2023-2024,R16,esReal Sociedad,8,3,3,2,8,6,+2,12,DLLWW,"36,790",Brais Méndez-3,Álex Remiro,
2023-2024,R16,itNapoli,8,3,2,3,12,13,-1,11,WWDLD,"45,367",Victor Osimhen-2,Alex Meret,
2023-2024,R16,nlPSV Eindhoven,8,2,4,2,9,13,-4,10,WDWLW,"34,589",Luuk de Jong-3,Walter Benítez,
2023-2024,R16,dkFC Copenhagen,8,2,2,4,10,14,-4,8,WLLWW,"35,592","Mohamed Elyounoussi,Lukas Lerager-3",Kamil Grabara,
2023-2024,,,,,,,,,,,,,,,
2023-2024,GR,uaShakhtar,6,3,0,3,10,12,-2,9,LDWWW,"47,695",Danylo Sikan-4,Dmytro Riznyk,
2023-2024,GR,itMilan,6,2,2,2,5,8,-3,8,WWWWW,"72,212",Samuel Chukwueze-2,Mike Maignan,
2023-2024,GR,frLens,6,2,2,2,6,11,-5,8,LWWLL,"37,543","Angelo Fulgini,Elye Wahi-2",Brice Samba,
2023-2024,GR,nlFeyenoord,6,2,0,4,9,10,-1,6,DWDWW,"44,010",Santiago Giménez-2,Justin Bijlow,
2023-2024,GR,engNewcastle Utd,6,1,2,3,6,7,-1,5,LDWLL,"52,023","Dan Burn,Fabian Schär... -1",Nick Pope,
2023-2024,GR,trGalatasaray,6,1,2,3,10,13,-3,5,LWWWW,"50,140","Mauro Icardi,Hakim Ziyech... -2",Fernando Muslera,
2023-2024,GR,engManchester Utd,6,1,1,4,12,15,-3,4,LWLWW,"73,175",Rasmus Højlund-5,André Onana,
2023-2024,GR,ptBenfica,6,1,1,4,7,11,-4,4,DWWWW,"56,621",João Mário-3,Anatolii Trubin,
2023-2024,GR,atRB Salzburg,6,1,1,4,4,8,-4,4,DWWWW,"28,477",Oscar Gloukh-2,Alexander Schlager,
2023-2024,GR,chYoung Boys,6,1,1,4,7,13,-6,4,DLLWL,"31,500",Meschak Elia-2,Anthony Racioppi,
2023-2024,GR,ptBraga,6,1,1,4,6,12,-6,4,WWWDW,"21,366","Bruma,Álvaro djaló-2",Matheus,
2023-2024,GR,sctCeltic,6,1,1,4,5,15,-10,4,DWWLW,"56,099","Kyogo Furuhashi,Luis Enrique Palma-2",Joe Hart,
2023-2024,GR,beAntwerp,6,1,0,5,6,17,-11,3,LDWWD,"13,570","Vincent Janssen,Arbnor Muja... -1",Jean Butez,
2023-2024,GR,deUnion Berlin,6,0,2,4,6,10,-4,2,WDLLW,"72,976",Sheraldo Becker-2,Frederik Rønnow,
2023-2024,GR,esSevilla,6,0,2,4,7,12,-5,2,DLWDL,"34,181","Sergio Ramos,Nemanja Gudelj... -2",Marko Dmitrović,
2023-2024,GR,rsRed Star,6,0,1,5,7,15,-8,1,WWDWW,"46,202",Osman Bukari-2,Omri Glazer,
