Season,Round,Day,Date,Home,Score,Away,Venue,Referee
2022-2023,Round of 16,Tue,2023-02-14,Milan,1-0,Tottenham,Stadio Giuseppe Meazza,Sandro Schärer
2022-2023,Round of 16,Tue,2023-02-14,Paris S-G,0-1,Bayern Munich,Parc des Princes,Michael Oliver
2022-2023,Round of 16,Wed,2023-02-15,Club Brugge,0-2,Benfica,Jan Breydelstadion,Davide Massa
2022-2023,Round of 16,Wed,2023-02-15,Dortmund,1-0,Chelsea,Signal Iduna Park,Jesús Gil
2022-2023,Round of 16,Tue,2023-02-21,Liverpool,2-5,Real Madrid,Anfield,István Kovács
2022-2023,Round of 16,Tue,2023-02-21,Eint Frankfurt,0-2,Napoli,Deutsche Bank Park,Artur Dias
2022-2023,Round of 16,Wed,2023-02-22,Inter,1-0,Porto,Stadio Giuseppe Meazza,Srđan Jovanović
2022-2023,Round of 16,Wed,2023-02-22,RB Leipzig,1-1,Manchester City,Red Bull Arena,Serdar Gözübüyük
2022-2023,Round of 16,Tue,2023-03-07,Benfica,5-1,Club Brugge,Estádio do Sport Lisboa e Benfica,Halil Umut Meler
2022-2023,Round of 16,Tue,2023-03-07,Chelsea,2-0,Dortmund,Stamford Bridge,Danny Makkelie
2022-2023,Round of 16,Wed,2023-03-08,Tottenham,0-0,Milan,Tottenham Hotspur Stadium,Clément Turpin
2022-2023,Round of 16,Wed,2023-03-08,Bayern Munich,2-0,Paris S-G,Allianz Arena,Daniele Orsato
2022-2023,Round of 16,Tue,2023-03-14,Porto,0-0,Inter,Estádio Do Dragão,Szymon Marciniak
2022-2023,Round of 16,Tue,2023-03-14,Manchester City,7-0,RB Leipzig,Etihad Stadium,Slavko Vinčič
2022-2023,Round of 16,Wed,2023-03-15,Real Madrid,1-0,Liverpool,Estadio Santiago Bernabéu,Felix Zwayer
2022-2023,Round of 16,Wed,2023-03-15,Napoli,3-0,Eint Frankfurt,Stadio Diego Armando Maradona,Anthony Taylor
2022-2023,Quarter-finals,Tue,2023-04-11,Benfica,0-2,Inter,Estádio da Luz (1954),Michael Oliver
2022-2023,Quarter-finals,Tue,2023-04-11,Manchester City,3-0,Bayern Munich,Etihad Stadium,Jesús Gil
2022-2023,Quarter-finals,Wed,2023-04-12,Milan,1-0,Napoli,Stadio Giuseppe Meazza,István Kovács
2022-2023,Quarter-finals,Wed,2023-04-12,Real Madrid,2-0,Chelsea,Estadio Santiago Bernabéu,François Letexier
2022-2023,Quarter-finals,Tue,2023-04-18,Chelsea,0-2,Real Madrid,Stamford Bridge,Daniele Orsato
2022-2023,Quarter-finals,Tue,2023-04-18,Napoli,1-1,Milan,Stadio Diego Armando Maradona,Szymon Marciniak
2022-2023,Quarter-finals,Wed,2023-04-19,Inter,3-3,Benfica,Stadio Giuseppe Meazza,Carlos del Cerro
2022-2023,Quarter-finals,Wed,2023-04-19,Bayern Munich,1-1,Manchester City,Allianz Arena,Clément Turpin
2022-2023,Semi-finals,Tue,2023-05-09,Real Madrid,1-1,Manchester City,Estadio Santiago Bernabéu,Artur Dias
2022-2023,Semi-finals,Wed,2023-05-10,Milan,0-2,Inter,Stadio Giuseppe Meazza,Jesús Gil
2022-2023,Semi-finals,Tue,2023-05-16,Inter,1-0,Milan,Stadio Giuseppe Meazza,Clément Turpin
2022-2023,Semi-finals,Wed,2023-05-17,Manchester City,4-0,Real Madrid,Etihad Stadium,Szymon Marciniak
2022-2023,Final,Sat,2023-06-10,Manchester City,1-0,Inter,Atatürk Olimpiyat Stadı (Neutral Site),Szymon Marciniak
2021-2022,Round of 16,Tue,2022-02-15,Sporting CP,0-5,Manchester City,Estádio José Alvalade,Srdjan Stojanovic
2021-2022,Round of 16,Tue,2022-02-15,Paris S-G,1-0,Real Madrid,Parc des Princes,Daniele Orsato
2021-2022,Round of 16,Wed,2022-02-16,Inter,0-2,Liverpool,Stadio Giuseppe Meazza,Szymon Marciniak
2021-2022,Round of 16,Wed,2022-02-16,RB Salzburg,1-1,Bayern Munich,Red Bull Arena,Michael Oliver
2021-2022,Round of 16,Tue,2022-02-22,Chelsea,2-0,Lille,Stamford Bridge,Jesús Gil
2021-2022,Round of 16,Tue,2022-02-22,Villarreal,1-1,Juventus,Estadio de la Cerámica,Daniel Siebert
2021-2022,Round of 16,Wed,2022-02-23,Benfica,2-2,Ajax,Estádio do Sport Lisboa e Benfica,Slavko Vinčič
2021-2022,Round of 16,Wed,2022-02-23,Atlético Madrid,1-1,Manchester Utd,Estadio Wanda Metropolitano,Ovidiu Hațegan
2021-2022,Round of 16,Tue,2022-03-08,Liverpool,0-1,Inter,Anfield,Antonio Matéu Lahoz
2021-2022,Round of 16,Tue,2022-03-08,Bayern Munich,7-1,RB Salzburg,Allianz Arena,Clément Turpin
2021-2022,Round of 16,Wed,2022-03-09,Manchester City,0-0,Sporting CP,Etihad Stadium,Halil Umut Meler
2021-2022,Round of 16,Wed,2022-03-09,Real Madrid,3-1,Paris S-G,Estadio Santiago Bernabéu,Danny Makkelie
2021-2022,Round of 16,Tue,2022-03-15,Manchester Utd,0-1,Atlético Madrid,Old Trafford,Slavko Vinčič
2021-2022,Round of 16,Tue,2022-03-15,Ajax,0-1,Benfica,Johan Cruyff ArenA,Carlos del Cerro
2021-2022,Round of 16,Wed,2022-03-16,Juventus,0-3,Villarreal,Allianz Stadium,Szymon Marciniak
2021-2022,Round of 16,Wed,2022-03-16,Lille,1-2,Chelsea,Stade Pierre-Mauroy,Davide Massa
2021-2022,Quarter-finals,Tue,2022-04-05,Manchester City,1-0,Atlético Madrid,Etihad Stadium,István Kovács
2021-2022,Quarter-finals,Tue,2022-04-05,Benfica,1-3,Liverpool,Estádio do Sport Lisboa e Benfica,Jesús Gil
2021-2022,Quarter-finals,Wed,2022-04-06,Chelsea,1-3,Real Madrid,Stamford Bridge,Clément Turpin
2021-2022,Quarter-finals,Wed,2022-04-06,Villarreal,1-0,Bayern Munich,Estadio de la Cerámica,Anthony Taylor
2021-2022,Quarter-finals,Tue,2022-04-12,Real Madrid,2-3,Chelsea,Estadio Santiago Bernabéu,Szymon Marciniak
2021-2022,Quarter-finals,Tue,2022-04-12,Bayern Munich,1-1,Villarreal,Allianz Arena,Slavko Vinčič
2021-2022,Quarter-finals,Wed,2022-04-13,Liverpool,3-3,Benfica,Anfield,Serdar Gözübüyük
2021-2022,Quarter-finals,Wed,2022-04-13,Atlético Madrid,0-0,Manchester City,Estadio Wanda Metropolitano,Daniel Siebert
2021-2022,Semi-finals,Tue,2022-04-26,Manchester City,4-3,Real Madrid,Etihad Stadium,István Kovács
