Season,Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
2003-2004,Round of 16,Tue,2004-02-24,,Celta Vigo,2–3,Arsenal,,Balaídos,Anders Frisk,Match Report,Leg 1 of 2
2003-2004,Round of 16,Tue,2004-02-24,,Bayern Munich,1–1,Real Madrid,,Olympiastadion,Terje Hauge,Match Report,Leg 1 of 2
2003-2004,Round of 16,Tue,2004-02-24,,Sparta Prague,0–0,Milan,,Stadion Letná,Graham Poll,Match Report,Leg 1 of 2
2003-2004,Round of 16,Tue,2004-02-24,,Loko Moscow,2–1,Monaco,,Stadion Lokomotiv,Mejuto González,Match Report,Leg 1 of 2
2003-2004,Round of 16,Wed,2004-02-25,,Porto,2–1,Manchester Utd,,Estádio do Dragão,Herbert Fandel,Match Report,Leg 1 of 2
2003-2004,Round of 16,Wed,2004-02-25,,Real Sociedad,0–1,Lyon,,Anoeta,Massimo De Santis,Match Report,Leg 1 of 2
2003-2004,Round of 16,Wed,2004-02-25,,Stuttgart,0–1,Chelsea,,VfB Arena,Kyros Vassaras,Match Report,Leg 1 of 2
2003-2004,Round of 16,Wed,2004-02-25,,La Coruña,1–0,Juventus,,Estadio Municipal de Riazor,Gilles Veissière,Match Report,Leg 1 of 2
2003-2004,Round of 16,Tue,2004-03-09,,Lyon,1–0,Real Sociedad,,Stade de Gerland,Mike Riley,Match Report,Leg 2 of 2; Lyon won
2003-2004,Round of 16,Tue,2004-03-09,,Manchester Utd,1–1,Porto,,Old Trafford,Valentin Ivanov,Match Report,Leg 2 of 2; Porto won
2003-2004,Round of 16,Tue,2004-03-09,,Juventus,0–1,La Coruña,,Delle Alpi,Ľuboš Michel,Match Report,Leg 2 of 2; La Coruña won
2003-2004,Round of 16,Tue,2004-03-09,,Chelsea,0–0,Stuttgart,,Stamford Bridge,Kim Milton Nielsen,Match Report,Leg 2 of 2; Chelsea won
2003-2004,Round of 16,Wed,2004-03-10,,Arsenal,2–0,Celta Vigo,,Highbury,Pierluigi Collina,Match Report,Leg 2 of 2; Arsenal won
2003-2004,Round of 16,Wed,2004-03-10,,Milan,4–1,Sparta Prague,,Stadio Giuseppe Meazza,Markus Merk,Match Report,Leg 2 of 2; Milan won
2003-2004,Round of 16,Wed,2004-03-10,,Monaco,1–0,Loko Moscow,,Stade Louis II,Lucílio Batista,Match Report,Leg 2 of 2; Monaco won
2003-2004,Round of 16,Wed,2004-03-10,,Real Madrid,1–0,Bayern Munich,,Estadio Santiago Bernabéu,Urs Meier,Match Report,Leg 2 of 2; Real Madrid won
2003-2004,Quarter-finals,Tue,2004-03-23,,Porto,2–0,Lyon,,Estádio do Dragão,Terje Hauge,Match Report,Leg 1 of 2
2003-2004,Quarter-finals,Tue,2004-03-23,,Milan,4–1,La Coruña,,Stadio Giuseppe Meazza,Valentin Ivanov,Match Report,Leg 1 of 2
2003-2004,Quarter-finals,Wed,2004-03-24,,Chelsea,1–1,Arsenal,,Stamford Bridge,Mejuto González,Match Report,Leg 1 of 2
2003-2004,Quarter-finals,Wed,2004-03-24,,Real Madrid,4–2,Monaco,,Estadio Santiago Bernabéu,Ľuboš Michel,Match Report,Leg 1 of 2
2003-2004,Quarter-finals,Tue,2004-04-06,,Monaco,3–1,Real Madrid,,Stade Louis II,Pierluigi Collina,Match Report,Leg 2 of 2; Monaco won
2003-2004,Quarter-finals,Tue,2004-04-06,,Arsenal,1–2,Chelsea,,Highbury,Markus Merk,Match Report,Leg 2 of 2; Chelsea won
2003-2004,Quarter-finals,Wed,2004-04-07,,Lyon,2–2,Porto,,Stade de Gerland,Anders Frisk,Match Report,Leg 2 of 2; Porto won
2003-2004,Quarter-finals,Wed,2004-04-07,,La Coruña,4–0,Milan,,Estadio Municipal de Riazor,Urs Meier,Match Report,Leg 2 of 2; La Coruña won
2003-2004,Semi-finals,Tue,2004-04-20,,Monaco,3–1,Chelsea,,Stade Louis II,Urs Meier,Match Report,Leg 1 of 2
2003-2004,Semi-finals,Wed,2004-04-21,,Porto,0–0,La Coruña,,Estádio do Dragão,Markus Merk,Match Report,Leg 1 of 2
2003-2004,Semi-finals,Tue,2004-05-04,,La Coruña,0–1,Porto,,Estadio Municipal de Riazor,Pierluigi Collina,Match Report,Leg 2 of 2; Porto won
2003-2004,Semi-finals,Wed,2004-05-05,,Chelsea,2–2,Monaco,,Stamford Bridge,Anders Frisk,Match Report,Leg 2 of 2; Monaco won
2003-2004,Final,Wed,2004-05-26,,Monaco,0–3,Porto,,Arena AufSchalke (Neutral Site),Kim Milton Nielsen,Match Report,
2005-2006,Round of 16,Tue,2006-02-21,,Benfica,1–0,Liverpool,,Estádio do Sport Lisboa e Benfica,Konrad Plautz,Match Report,Leg 1 of 2
2005-2006,Round of 16,Tue,2006-02-21,,Real Madrid,0–1,Arsenal,,Estadio Santiago Bernabéu,Stefano Farina,Match Report,Leg 1 of 2
2005-2006,Round of 16,Tue,2006-02-21,,Bayern Munich,1–1,Milan,,Fußball Arena München,Frank de Bleeckere,Match Report,Leg 1 of 2
2005-2006,Round of 16,Tue,2006-02-21,,PSV Eindhovennl,0–1,Lyon,,PSV Stadion,Kyros Vassaras,Match Report,Leg 1 of 2
2005-2006,Round of 16,Wed,2006-02-22,,Ajaxnl,2–2,Inter,,Amsterdam ArenA,Wolfgang Stark,Match Report,Leg 1 of 2
2005-2006,Round of 16,Wed,2006-02-22,,Rangerssct,2–2,Villarreal,,Ibrox Stadium,Éric Poulat,Match Report,Leg 1 of 2
2005-2006,Round of 16,Wed,2006-02-22,,Chelsea,1–2,Barcelona,,Stamford Bridge,Terje Hauge,Match Report,Leg 1 of 2
2005-2006,Round of 16,Wed,2006-02-22,,Werder Bremen,3–2,Juventus,,Weserstadion,Mejuto González,Match Report,Leg 1 of 2
2005-2006,Round of 16,Tue,2006-03-07,,Barcelona,1–1,Chelsea,,Camp Nou,Markus Merk,Match Report,Leg 2 of 2; Barcelona won
2005-2006,Round of 16,Tue,2006-03-07,,Juventus,2–1,Werder Bremen,,Delle Alpi,Graham Poll,Match Report,Leg 2 of 2; Juventus won
2005-2006,Round of 16,Tue,2006-03-07,,Villarreal,1–1,sctRangers,,Estadio El Madrigal,Alain Hamer,Match Report,Leg 2 of 2; Villarreal won
2005-2006,Round of 16,Wed,2006-03-08,,Arsenal,0–0,Real Madrid,,Highbury,Ľuboš Michel,Match Report,Leg 2 of 2; Arsenal won
2005-2006,Round of 16,Wed,2006-03-08,,Lyon,4–0,nlPSV Eindhoven,,Stade de Gerland,Mike Riley,Match Report,Leg 2 of 2; Lyon won
2005-2006,Round of 16,Wed,2006-03-08,,Milan,4–1,Bayern Munich,,Stadio Giuseppe Meazza,Valentin Ivanov,Match Report,Leg 2 of 2; Milan won
2005-2006,Round of 16,Wed,2006-03-08,,Liverpool,0–2,Benfica,,Anfield,Massimo De Santis,Match Report,Leg 2 of 2; Benfica won
2005-2006,Round of 16,Tue,2006-03-14,,Inter,1–0,nlAjax,,Stadio Giuseppe Meazza,Peter Fröjdfeldt,Match Report,Leg 2 of 2; Inter won
2005-2006,Quarter-finals,Tue,2006-03-28,,Arsenal,2–0,Juventus,,Highbury,Peter Fröjdfeldt,Match Report,Leg 1 of 2
2005-2006,Quarter-finals,Tue,2006-03-28,,Benfica,0–0,Barcelona,,Estádio do Sport Lisboa e Benfica,Stephen Bennett,Match Report,Leg 1 of 2
2005-2006,Quarter-finals,Wed,2006-03-29,,Inter,2–1,Villarreal,,Stadio Giuseppe Meazza,Alain Sars,Match Report,Leg 1 of 2
2005-2006,Quarter-finals,Wed,2006-03-29,,Lyon,0–0,Milan,,Stade de Gerland,Konrad Plautz,Match Report,Leg 1 of 2
2005-2006,Quarter-finals,Tue,2006-04-04,,Villarreal,1–0,Inter,,Estadio El Madrigal,Kyros Vassaras,Match Report,Leg 2 of 2; Villarreal won
2005-2006,Quarter-finals,Tue,2006-04-04,,Milan,3–1,Lyon,,Stadio Giuseppe Meazza,Terje Hauge,Match Report,Leg 2 of 2; Milan won
2005-2006,Quarter-finals,Wed,2006-04-05,,Barcelona,2–0,Benfica,,Camp Nou,Ľuboš Michel,Match Report,Leg 2 of 2; Barcelona won
2005-2006,Quarter-finals,Wed,2006-04-05,,Juventus,0–0,Arsenal,,Delle Alpi,Herbert Fandel,Match Report,Leg 2 of 2; Arsenal won
2005-2006,Semi-finals,Tue,2006-04-18,,Milan,0–1,Barcelona,,Stadio Giuseppe Meazza,Alain Sars,Match Report,Leg 1 of 2
2005-2006,Semi-finals,Wed,2006-04-19,,Arsenal,1–0,Villarreal,,Highbury,Konrad Plautz,Match Report,Leg 1 of 2
2005-2006,Semi-finals,Tue,2006-04-25,,Villarreal,0–0,Arsenal,,Estadio El Madrigal,Valentin Ivanov,Match Report,Leg 2 of 2; Arsenal won
2005-2006,Semi-finals,Wed,2006-04-26,,Barcelona,0–0,Milan,,Camp Nou,Markus Merk,Match Report,Leg 2 of 2; Barcelona won
2005-2006,Final,Wed,2006-05-17,,Barcelona,2–1,Arsenal,,Stade de France (Neutral Site),Terje Hauge,Match Report,
2006-2007,Round of 16,Tue,2007-02-20,,Lille,0–1,Manchester Utd,,Stade Félix,Eric Braamhaar,Match Report,Leg 1 of 2
2006-2007,Round of 16,Tue,2007-02-20,,Real Madrid,3–2,Bayern Munich,,Estadio Santiago Bernabéu,Frank de Bleeckere,Match Report,Leg 1 of 2
2006-2007,Round of 16,Tue,2007-02-20,,Celticsct,0–0,Milan,,Celtic Park,Terje Hauge,Match Report,Leg 1 of 2
2006-2007,Round of 16,Tue,2007-02-20,,PSV Eindhovennl,1–0,Arsenal,,PSV Stadion,Tom Henning Øvrebø,Match Report,Leg 1 of 2
2006-2007,Round of 16,Wed,2007-02-21,,Porto,1–1,Chelsea,,Estádio do Dragão,Massimo Busacca,Match Report,Leg 1 of 2
2006-2007,Round of 16,Wed,2007-02-21,,Barcelona,1–2,Liverpool,,Camp Nou,Kyros Vassaras,Match Report,Leg 1 of 2
2006-2007,Round of 16,Wed,2007-02-21,,Roma,0–0,Lyon,,Stadio Olimpico,Mike Riley,Match Report,Leg 1 of 2
2006-2007,Round of 16,Wed,2007-02-21,,Inter,2–2,Valencia,,Stadio Giuseppe Meazza,Martin Hansson,Match Report,Leg 1 of 2
2006-2007,Round of 16,Tue,2007-03-06,,Chelsea,2–1,Porto,,Stamford Bridge,Roberto Rosetti,Match Report,Leg 2 of 2; Chelsea won
2006-2007,Round of 16,Tue,2007-03-06,,Liverpool,0–1,Barcelona,,Anfield,Herbert Fandel,Match Report,Leg 2 of 2; Liverpool won
2006-2007,Round of 16,Tue,2007-03-06,,Valencia,0–0,Inter,,Estadi de Mestalla,Wolfgang Stark,Match Report,Leg 2 of 2; Valencia won
2006-2007,Round of 16,Tue,2007-03-06,,Lyon,0–2,Roma,,Stade de Gerland,Mejuto González,Match Report,Leg 2 of 2; Roma won
